,FalseSent,Option,label
288,People only cry when they are angry.,Crying is a natural response to being sad and many people cry when they are sad to express the feeling.,1
289,People only cry when they are angry.,It is impossible to cry when you are angry.,0
290,People only cry when they are angry.,No one has ever cried when they are angry.,0
292,Most people like to have hamburgers and pudding in the morning.,Hamburgers frequently have lettuce on them and pudding is often chocolate flavored.,0
293,Most people like to have hamburgers and pudding in the morning.,Hamburgers and pudding both contain carbohydrates.,0
294,Most people like to have hamburgers and pudding in the morning.,"Hamburgers are a lunch or dinner food, and pudding is a dessert.",1
296,Frank hit Will with a pillow causing him pain,A pillow is bigger than a stone,0
297,Frank hit Will with a pillow causing him pain,A pillow is softer than a stone and does not cause injuries,1
298,Frank hit Will with a pillow causing him pain,A pillow and a stone can be white,0
300,he shaved his teeth,it's illegal to shave teeth,0
301,he shaved his teeth,there is no hair on teeth,1
302,he shaved his teeth,teeth are not accessible enough to be shaved,0
304,She put mustard on a star.,People pay money to name different stars.,0
305,She put mustard on a star.,Clouds make it hard to see stars in the sky.,0
306,She put mustard on a star.,A star is too far away for someone to but a condiment on.,1
308,He was playing fridge,Fridge is a tool and is not a musical instrument,1
309,He was playing fridge,He does not know fridge,0
310,He was playing fridge,Fridge is in gray color,0
312,A person is not allowed to visit their relatives.,"It is a human right to visit a relative and there are no laws against it, so you can visit a relative.",1
313,A person is not allowed to visit their relatives.,It is legally required of you to visit your relatives.,0
314,A person is not allowed to visit their relatives.,You are looked down upon if you do not visit relative and shamed upon.,0
316,Tight shoes are comfortable.,Tight shoes make walking unbearable.,1
317,Tight shoes are comfortable.,Some people like shoes to be extremely tight.,0
318,Tight shoes are comfortable.,Tight shoes can be worn for many hours.,0
320,Low blood pressure is a hazardous way to diet and lose weight.,"Lowering high blood pressure, and weight loss is the result of eating healthy and exercising.",1
321,Low blood pressure is a hazardous way to diet and lose weight.,Eating Healthy is dangerous it can lower your blood pressure and make you have an eating disorder.,0
322,Low blood pressure is a hazardous way to diet and lose weight.,Eating disorders and dangerously low blood pressure are a result of eating healthy and losing weight.,0
324,Plants can make computers,"Plants are all over the world, while computers are only in developed countries",0
325,Plants can make computers,Computers are not organic products and are made by humans,1
326,Plants can make computers,"Animals eat plants, but not computers",0
328,My friend like to eat electronic goods.,No one can digest electronic goods.,1
329,My friend like to eat electronic goods.,Electronic goods are very small now a days to eat.,0
330,My friend like to eat electronic goods.,Electronic goods may cause shock while eating.,0
332,Europe is in france,Europe is a continent but france is a country,1
333,Europe is in france,france is not european,0
334,Europe is in france,europe is not a french country,0
336,The babies birthday is the day their parents met.,Birthdays are happy days and the day of birth is happier than the day of parents meeting.,0
337,The babies birthday is the day their parents met.,Birthdays must refer to the days and most parents meet at night time,0
338,The babies birthday is the day their parents met.,A birthday refers to the day you were conceived as a way to refer to your age so it cannot be the day your parents met.,1
340,A sheep shops at Walmart,Sheep would see how the wool is used in the stores,0
341,A sheep shops at Walmart,Sheep only eat grass but Walmart sells meat,0
342,A sheep shops at Walmart,Walmart is a store for persons not animals,1
344,You can not get drunk from alcohol.,"Alcohol is the only thing you can get drunk from and by drinking it, your brain becomes drunk.",1
345,You can not get drunk from alcohol.,It is impossible to stay sober if you drink even one drop of alcohol.,0
346,You can not get drunk from alcohol.,Alcohol is poisonous and by drinking it you imminently become intoxicated.,0
348,The fire hydrant shot a bullet,Fire hydrants do not have firing mechanisms,1
349,The fire hydrant shot a bullet,Guns are older than fire hydrants,0
350,The fire hydrant shot a bullet,Fire hydrants do not have an amendment protecting them,0
352,A forest is an area covered with snow,"the multitude of trees makes up a forest, and the presence or absence of snow is irrelevant",1
353,A forest is an area covered with snow,"snow is white, and the forest is green",0
354,A forest is an area covered with snow,"snow melts, but the forest does not",0
356,The grass is singing.,Lots of animals eat grass.,0
357,The grass is singing.,Water helps grass grow.,0
358,The grass is singing.,Grass does not have voice or mouth to make noise.,1
360,She cut the meat with a fridge.,Refrigerators are iron while meats are red.,0
361,She cut the meat with a fridge.,A refrigerator is much larger than a meat.,1
362,She cut the meat with a fridge.,A refrigerator cannot use knives.,0
364,The whale swims in a bathtub.,The whale is much larger than a bathtub.,1
365,The whale swims in a bathtub.,The whales are usually gray while the tubs are usually white.,0
366,The whale swims in a bathtub.,The bathtub cannot swim in the whale.,0
368,A boxer would never punch in a boxing match.,Boxers will be arrested if they punch someone.,0
369,A boxer would never punch in a boxing match.,Boxers are very nice people and hate all types of violence.,0
370,A boxer would never punch in a boxing match.,A boxer needs to punch in a boxing match to score points and win. A referee makes them punch.,1
372,There was a person drinking sulfuric acid.,People do not drink sulfuric acid because it would kill them.,1
373,There was a person drinking sulfuric acid.,Sulfuric acid does not quench thirst.,0
374,There was a person drinking sulfuric acid.,A person would not drink sulfuric acid because it tastes bitter.,0
376,She drank a cup of tires.,"Tires are made of rubber, cups are made of glass.",0
377,She drank a cup of tires.,Cups cannot drive tires.,0
378,She drank a cup of tires.,Tires cannot be drunk.,1
380,He was changing tv channels with screwdriver,Screwdriver's battery drained up,0
381,He was changing tv channels with screwdriver,Screwdriver is a passive mechanical tool,1
382,He was changing tv channels with screwdriver,He did not have screwdriver at home,0
384,The giraffe swam through the ocean,The whale is much larger than a giraffe,0
385,The giraffe swam through the ocean,The whale not walk as well as a giraffe,0
386,The giraffe swam through the ocean,The whale can swim much better than a giraffe,1
388,he put the ice cream in the closet,ice cream is usually liquid while closets are solid,0
389,he put the ice cream in the closet,an ice cream cannot feed a closet,0
390,he put the ice cream in the closet,ice cream would easily melt in a closet,1
392,The people were full of planes,Planes are much bigger than people,1
393,The people were full of planes,planes can fly while people cannot,0
394,The people were full of planes,people cannot eat planes,0
396,She went to the shop to buy hands,You can't buy hands from a shop.,1
397,She went to the shop to buy hands,You can't eat a hand.,0
398,She went to the shop to buy hands,Hands won't fit in a shopping basket.,0
400,He took the curb to the trash.,Curbs are usually where you put the trash.,0
401,He took the curb to the trash.,You can't take a curb from it's spot.,1
402,He took the curb to the trash.,Curbs are where waste management receives all trash.,0
404,She flew on a pizza.,Pizzas have many different toppings,0
405,She flew on a pizza.,Pizza toppings would stick to your butt if you sat on them.,0
406,She flew on a pizza.,Pizzas do not have engines to be flown.,1
408,A musician can perform a surgery,both musicians and surgeries involve instruments,0
409,A musician can perform a surgery,some musicians have surgeries performed on them,0
410,A musician can perform a surgery,only a qualified surgeon can perform a surgery,1
412,She brushed her teeth with a truck.,Trucks are usually black while the teeth are white.,0
413,She brushed her teeth with a truck.,A truck is bigger than a tooth.,1
414,She brushed her teeth with a truck.,A truck cannot brush its teeth.,0
416,The house entered the man,the house is bigger than the man,1
417,The house entered the man,the house is not the man,0
418,The house entered the man,the house will not eat in the man,0
420,He put a whale on the shelf.,A whale is white while the shelf is brown.,0
421,He put a whale on the shelf.,A whale is too large to fit on a shelf.,1
422,He put a whale on the shelf.,A whale cannot smell a shelf.,0
424,Jill ate the wizard in her book.,Wizards are too large to be eaten by humans.,0
425,Jill ate the wizard in her book.,Book wizards are not edible like regular wizards.,0
426,Jill ate the wizard in her book.,You cannot eat wizards.,1
428,He travels by a laptop to reach the office.,Laptop needs drivers to run the software.,0
429,He travels by a laptop to reach the office.,Laptop is not a vehicle which can be driven.,1
430,He travels by a laptop to reach the office.,Driving simulation can be shown on the laptop.,0
432,He buys a book to eat.,Book is not eatable.,1
433,He buys a book to eat.,The pages of book are made from trees.,0
434,He buys a book to eat.,Rodents feed on book.,0
436,The table melts at room temperature.,Tables are always square or round while the ice is wet.,0
437,The table melts at room temperature.,Tables do not freeze in the fridge.,0
438,The table melts at room temperature.,A table does not melt at room temperature.,1
440,He walked to mars,Mars is larger than a store,0
441,He walked to mars,Mars is a red color,0
442,He walked to mars,Mars is another planet,1
444,He lifted a tractor with his hands.,Tractors are always yellow while tambourines are wooden.,0
445,He lifted a tractor with his hands.,A tractor is too heavy to lift with its hands.,1
446,He lifted a tractor with his hands.,A tractor cannot touch a tambourine.,0
448,Dwight cut down a mountain,Trees are much more common than mountains,0
449,Dwight cut down a mountain,Trees grow faster than mountains,0
450,Dwight cut down a mountain,Mountains are much larger than trees,1
452,he swam in the lava,lava is too hot to swim in it,1
453,he swam in the lava,lava is red and he doesn't like red,0
454,he swam in the lava,he doesn't like the smell of lava,0
456,The woman wrote down the story with a spoon on paper,A spoon is about the same size as a pencil.,0
457,The woman wrote down the story with a spoon on paper,A spoon is harder than all paper,0
458,The woman wrote down the story with a spoon on paper,A person can't write down something with a spoon.,1
460,Swords use me,A sword is not alive,1
461,Swords use me,A sword is made of metal,0
462,Swords use me,I am human,0
464,Geralt flies his car every day,There are cars with spoilers,0
465,Geralt flies his car every day,Airplanes and cars have got motors.,0
466,Geralt flies his car every day,Cars have wheels and cannot fly,1
468,She needed to call her mother but she could not find her car keys,car keys are sharp and could scratch your phone screen,0
469,She needed to call her mother but she could not find her car keys,car keys are for locking or unlocking the car rather than calling people,1
470,She needed to call her mother but she could not find her car keys,car keys are not used for locking the house,0
472,He served a globe for dinner,Globes are made of materials you cannot eat,1
473,He served a globe for dinner,Globes are more accurate than maps for the the north and south pole,0
474,He served a globe for dinner,Globes can break and would be dangerous to carry to the dinner table.,0
476,He went to  beauty parlour because he feels hungry,"The beauty parlour has only scissors, chair and mirror which can't be ate by him",0
477,He went to  beauty parlour because he feels hungry,beauty parlour does not provide food for your hunger,1
478,He went to  beauty parlour because he feels hungry,There are different type of restaurant and food to eat to overcome his hunger,0
480,The Piano was hit,The piano didn't have drums,0
481,The Piano was hit,The piano was closed,0
482,The Piano was hit,"The piano is an instrument we play, not hit",1
484,today will be 30 hours,one day is made up of 24 hours while 30 hours is made up of 1 day and 6 hours,0
485,today will be 30 hours,One day is only 24 hours,1
486,today will be 30 hours,30 hours don't fit in 1 day,0
488,A cup is for holding a gas you plan to drink.,You can not drink gas.,1
489,A cup is for holding a gas you plan to drink.,Gas doesn't fit into cups.,0
490,A cup is for holding a gas you plan to drink.,Only liquids can go into cups.,0
492,I dress a lion,A lion is a mammal,0
493,I dress a lion,A lion eats meal,0
494,I dress a lion,A lion is a wild animal,1
496,He threw an anvil into the basket.,An anvil is too heavy to throw in a basket.,1
497,He threw an anvil into the basket.,Anvils are usually black while the baskets are white.,0
498,He threw an anvil into the basket.,Anvils do not play ball in the basket.,0
500,I like to eat cooked ice cream,Ice cream melts when cooking non eggs,0
501,I like to eat cooked ice cream,ice creams don't cook,0
502,I like to eat cooked ice cream,Ice creams are for taking not for cooking,1
504,He ate a crane.,Cranes are always metal while the barbecue is red.,0
505,He ate a crane.,A crane and made of metal is not fit for eating.,1
506,He ate a crane.,A crane cannot eat barbecue.,0
508,He danced on the spoon,Spoon is an utensil,1
509,He danced on the spoon,Spoon is not flat,0
510,He danced on the spoon,He does not like spoon,0
512,A landscape is a painting or a photograph which focuses on the face of a person,landscapes portray land rather than individual people,1
513,A landscape is a painting or a photograph which focuses on the face of a person,Any landscape can be captured in a painting or a photograph,0
514,A landscape is a painting or a photograph which focuses on the face of a person,painting the face of a person requires some skill,0
516,The child ate mud off of his face.,Children do not play in the mud.,0
517,The child ate mud off of his face.,Humans do not eat mud.,1
518,The child ate mud off of his face.,Children are allergic to mud.,0
520,A man defrosted a chicken using a lighter.,A lighter flame is too hot to defrost a chicken with.,0
521,A man defrosted a chicken using a lighter.,You can not defrost a chicken using a lighter because the heat generated is too small and focuses on only one part of the chicken.,1
522,A man defrosted a chicken using a lighter.,A lighter breaks very easily and cannot maintain the flame long enough to defrost.,0
524,A shark interviews a fish.,Sharks and fish do not talk.,1
525,A shark interviews a fish.,Sharks are bigger than fish.,0
526,A shark interviews a fish.,There are more letters in the word shark than fish.,0
528,She lifted a tractor.,Tractors are often black while chairs are green.,0
529,She lifted a tractor.,A tractor cannot sit in the chair.,0
530,She lifted a tractor.,A tractor is too heavy for one person.,1
532,She makes a call by the stove.,The stove is hot and the phone is cold.,0
533,She makes a call by the stove.,The stove is for cooking.,1
534,She makes a call by the stove.,The stove rings and does not vibrate.,0
536,The sun shines bright in the night,"The sun is only by day, the night appears the moon",0
537,The sun shines bright in the night,There can be no sun in the day,0
538,The sun shines bright in the night,The sun does not appear at night,1
540,the country of liegenpoofa exists,Liegenpoofa exists in the Lord of the Rings series,0
541,the country of liegenpoofa exists,Denmark exists and Liegenpoofa does not,1
542,the country of liegenpoofa exists,"Liegenpoofa is German for ""intense accusation""",0
544,You will never find dust on a desktop.,Dust grows on top of desktops like a plant does.,0
545,You will never find dust on a desktop.,Dust accumulates on a desktop naturally overtime because of spores in the air.,1
546,You will never find dust on a desktop.,A desktop is the preferred environment for dust.,0
548,Dogs eat extension cords.,"Dog food can be wet or dry, extension cords need to be dry.",0
549,Dogs eat extension cords.,Dogs cant digest copper and plastic.,0
550,Dogs eat extension cords.,Extension cords are inedible.,1
552,You can take a bath in a blender,A blender only has cold water,0
553,You can take a bath in a blender,A blender is too small,1
554,You can take a bath in a blender,A blender may have mustard in it,0
556,The coin was made of cheese,Cheese is better to eat than silver,0
557,The coin was made of cheese,Cheese is cheaper than silver,0
558,The coin was made of cheese,Cheese is a food and silver is metal,1
560,A fork is used for cutting bread,"bread is edible, while a fork is inedible",0
561,A fork is used for cutting bread,you cannot stab a fork with a slice of bread,0
562,A fork is used for cutting bread,"a fork, unlike a knife, cannot cut",1
564,She makes omelette with horse's egg.,Horse's egg is too small to make an omelette.,0
565,She makes omelette with horse's egg.,Horse does not lay eggs.,1
566,She makes omelette with horse's egg.,Horses egg is pink in color while chicken's egg is white in color.,0
568,She lay on the pool water to sleep,Pool water is flat like a bed.,0
569,She lay on the pool water to sleep,No one can sleep over water.,1
570,She lay on the pool water to sleep,Water absorb her while sleeping.,0
572,The water froze on the stove.,Ice cubes can be round like bubbles.,0
573,The water froze on the stove.,Stoves get hot and you cannot freeze water in the heat.,1
574,The water froze on the stove.,You can't freeze water in a regular room.,0
576,A horse spun a web,Horses are bigger than spiders,0
577,A horse spun a web,Horses have less legs than spiders,0
578,A horse spun a web,Horses do not have the glands to produce materials to spin webs.,1
580,she bought minecraft to play netball with,minecraft is a virtual game,1
581,she bought minecraft to play netball with,minecraft was the reason netball conceived,0
582,she bought minecraft to play netball with,netball injured minecraft in a friendly,0
584,She put a house in her purse.,houses are usually yellow while the bags are black.,0
585,She put a house in her purse.,A house is much larger than a purse.,1
586,She put a house in her purse.,The house doesn't use a purse.,0
